Lebensmittel,Energie in Kcal,Magnesium in mg,Wasser in g,Calcium in mg,Eiweiß in g,Phosph. in mg,Fett in g,Eisen in mg,KH in g,Zink in mg,ung. FS in g,Vit. A in µg,Chol. in mg,Carotin in mg,Alkohol in g,Vit. E in mg,Harnsr. in mg,Fols. in µg,tie. EW in g,Vit. B1 in mg,BST in g,Vit. B2 in mg,Natrium in mg,Vit. B6 in mg,Kalium in mg,Vit. C in mg
Spaghetti Bolognese ,"      225,8          ","        16,0  ","         54,7             ","        46,0  ","          8,5             ","        87,0  ","            8,5             ","           0,6  ","             25,5             ","            1,2  ","         0,7             ","       258,0  ","          34,0            ","         0,3  ","         0,0             ","          0,6  ","        37,0            ","          58,0  ","         5,8             ","         0,0  ","             0,5             ","         0,1  ","       158,0            ","         0,1  ","        190,0            ","          2,6   "
Makkaroni mit Tomatensoße ,"      167,9          ","        20,0  ","         68,2             ","       123,0  ","          5,5             ","       114,0  ","           10,3             ","           0,7  ","             13,3             ","            0,6  ","         1,5             ","        96,0  ","          25,0            ","         0,3  ","         0,0             ","          0,9  ","        18,0            ","           4,0  ","         3,1             ","         0,0  ","             1,2             ","         0,1  ","       299,0            ","         0,1  ","        143,0            ","          3,5   "
Maultaschen schwäbisch ,"      180,1          ","        19,0  ","         67,0             ","        46,0  ","         10,0             ","       103,0  ","           11,6             ","           1,8  ","              8,9             ","            1,4  ","         1,3             ","       215,0  ","         101,0            ","         0,9  ","         0,0             ","          0,9  ","        52,0            ","          12,0  ","         8,3             ","         0,1  ","             1,1             ","         0,1  ","       193,0            ","         0,1  ","        198,0            ","          8,2   "
Cannelloni ,"      171,3          ","        20,0  ","         64,3             ","        82,0  ","         11,4             ","       164,0  ","            8,1             ","           2,0  ","             12,9             ","            1,9  ","         0,6             ","       193,0  ","         449,0            ","         0,9  ","         0,0             ","          0,9  ","        68,0            ","           7,0  ","         9,1             ","         0,1  ","             1,3             ","         0,2  ","       388,0            ","         0,1  ","        192,0            ","          6,8   "
Ravioli mit Tomatensoße ,"      171,3          ","        20,0  ","         64,3             ","        82,0  ","         11,4             ","       164,0  ","            8,1             ","           2,0  ","             12,9             ","            1,9  ","         0,6             ","       193,0  ","         449,0            ","         0,9  ","         0,0             ","          0,9  ","        68,0            ","           7,0  ","         9,1             ","         0,1  ","             1,3             ","         0,2  ","       388,0            ","         0,1  ","        192,0            ","          6,8   "
Nudelgericht mit Gemüse ,"       97,8          ","        42,0  ","         79,2             ","       138,0  ","          7,1             ","       130,0  ","            5,9             ","           3,0  ","              3,8             ","            1,0  ","         1,0             ","       507,0  ","         109,0            ","         2,5  ","         0,0             ","          1,7  ","        38,0            ","          32,0  ","         5,0             ","         0,1  ","             1,8             ","         0,2  ","       202,0            ","         0,2  ","        420,0            ","         22,8   "
Milchreis mit Zucker und Zimt ,"       99,5          ","        13,0  ","         79,7             ","        93,0  ","          2,9             ","        79,0  ","            4,3             ","           0,1  ","             12,0             ","            0,3  ","         0,2             ","        35,0  ","          14,0            ","         0,0  ","         0,0             ","          0,1  ","         5,0            ","           2,0  ","         2,5             ","         0,0  ","             0,1             ","         0,1  ","        83,0            ","         0,0  ","        122,0            ","          0,7   "
Krapfen Beignets ,"      184,2          ","        18,0  ","         53,8             ","        17,0  ","          5,9             ","        52,0  ","            3,5             ","           0,6  ","             31,7             ","            0,4  ","         0,2             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,2  ","        20,0            ","           2,0  ","         1,9             ","         0,0  ","             1,5             ","         0,1  ","      1246,0            ","         0,1  ","         95,0            ","          0,1   "
Gemüserisotto ,"       92,3          ","        22,0  ","         76,0             ","        25,0  ","          2,9             ","        57,0  ","            2,5             ","           1,2  ","             14,2             ","            0,4  ","         0,7             ","       491,0  ","           0,0            ","         2,4  ","         0,0             ","          0,5  ","        54,0            ","           4,0  ","         0,1             ","         0,1  ","             2,6             ","         0,1  ","       413,0            ","         0,1  ","        182,0            ","          4,7   "
Paella ,"      146,7          ","        20,0  ","         72,4             ","        15,0  ","         11,3             ","       103,0  ","            8,9             ","           1,4  ","              5,4             ","            1,8  ","         1,0             ","        84,0  ","          48,0            ","         0,1  ","         0,0             ","          0,6  ","        89,0            ","          22,0  ","        10,3             ","         0,1  ","             0,7             ","         0,1  ","       159,0            ","         0,2  ","        189,0            ","          3,7   "
Nasi Goreng ,"      185,9          ","        21,0  ","         65,3             ","         9,0  ","         11,5             ","        94,0  ","           10,9             ","           0,8  ","             10,4             ","            0,9  ","         0,8             ","        17,0  ","          36,0            ","         0,1  ","         0,0             ","          0,4  ","        81,0            ","           3,0  ","        10,1             ","         0,1  ","             0,5             ","         0,1  ","       248,0            ","         0,2  ","        158,0            ","          0,8   "
"Pizza mit Tomaten, Käse und Salami ","      265,1          ","        20,0  ","         47,3             ","        75,0  ","          8,4             ","       114,0  ","           13,7             ","           1,3  ","             26,8             ","            1,0  ","         1,3             ","        66,0  ","          11,0            ","         0,1  ","         0,0             ","          1,4  ","        54,0            ","          25,0  ","         3,9             ","         0,1  ","             1,7             ","         0,2  ","       367,0            ","         0,1  ","        165,0            ","          2,8   "
Frühlingsrolle ,"      188,0          ","        17,0  ","         60,3             ","        15,0  ","          9,4             ","        83,0  ","            8,5             ","           1,1  ","             18,4             ","            1,5  ","         3,8             ","         2,0  ","          21,0            ","         0,0  ","         0,0             ","          3,6  ","        61,0            ","           7,0  ","         6,0             ","         0,1  ","             1,5             ","         0,1  ","       481,0            ","         0,1  ","        197,0            ","          1,1   "
Pfannkuchen ,"      265,1          ","        13,0  ","         46,1             ","        51,0  ","          7,9             ","       109,0  ","           11,2             ","           1,1  ","             32,7             ","            0,8  ","         0,7             ","        67,0  ","         124,0            ","         0,0  ","         0,0             ","          0,7  ","        14,0            ","          11,0  ","         4,8             ","         0,0  ","             1,3             ","         0,1  ","        58,0            ","         0,1  ","        111,0            ","          0,2   "
Grießbrei ,"      126,1          ","        11,0  ","         74,6             ","        88,0  ","          3,8             ","        87,0  ","            5,6             ","           0,3  ","             14,9             ","            0,5  ","         0,3             ","        61,0  ","          47,0            ","         0,0  ","         0,0             ","          0,3  ","         4,0            ","           5,0  ","         3,3             ","         0,0  ","             0,4             ","         0,1  ","        46,0            ","         0,0  ","        121,0            ","          0,6   "
Semmelknödel ,"      167,9          ","        17,0  ","         63,5             ","        66,0  ","          6,7             ","       115,0  ","            6,5             ","           1,1  ","             20,3             ","            0,8  ","         1,1             ","        91,0  ","          84,0            ","         0,1  ","         0,0             ","          1,1  ","        22,0            ","           8,0  ","         3,8             ","         0,1  ","             1,2             ","         0,1  ","       418,0            ","         0,1  ","        140,0            ","          1,3 "
Bratwurst ,"      350,7          ","        15,0  ","         49,3             ","         9,0  ","         13,9             ","        84,0  ","           33,0             ","           0,9  ","              0,4             ","            1,4  ","         3,8             ","         2,0  ","          64,0            ","         0,0  ","         0,0             ","          0,3  ","        96,0            ","           0,0  ","        13,9             ","         0,5  ","             0,1             ","         0,2  ","       504,0            ","         0,3  ","        128,0            ","          0,1   "
Fleischkäse gebraten ,"      349,3          ","        20,0  ","         40,5             ","        19,0  ","         12,8             ","       120,0  ","           25,5             ","           1,0  ","             17,5             ","            1,1  ","         2,3             ","        21,0  ","          57,0            ","         0,1  ","         0,0             ","          0,5  ","        74,0            ","           3,0  ","        10,3             ","         0,3  ","             1,2             ","         0,1  ","       642,0            ","         0,2  ","        193,0            ","         14,5   "
Frikadelle ,"      249,3          ","        21,0  ","         56,0             ","        12,0  ","         21,7             ","       177,0  ","           16,1             ","           1,9  ","              4,5             ","            3,1  ","         1,6             ","        36,0  ","          78,0            ","         0,0  ","         0,0             ","          0,8  ","       131,0            ","           3,0  ","        21,0             ","         0,4  ","             0,4             ","         0,3  ","       102,0            ","         0,3  ","        257,0            ","          0,5   "
Hackbraten ,"      203,1          ","        16,0  ","         61,6             ","        14,0  ","         20,5             ","       140,0  ","           11,1             ","           1,9  ","              5,2             ","            3,0  ","         0,9             ","        24,0  ","          64,0            ","         0,0  ","         0,0             ","          0,5  ","       125,0            ","           3,0  ","        19,7             ","         0,2  ","             0,5             ","         0,2  ","        82,0            ","         0,2  ","        211,0            ","          1,0   "
Königsberger Klopse ,"      141,1          ","        19,0  ","         75,0             ","        38,0  ","          9,2             ","       108,0  ","            9,4             ","           1,4  ","              4,9             ","            2,0  ","         0,6             ","        72,0  ","          76,0            ","         0,0  ","         0,0             ","          0,5  ","        54,0            ","           3,0  ","         8,4             ","         0,1  ","             0,5             ","         0,1  ","        68,0            ","         0,1  ","        175,0            ","          0,4   "
Schaschlik/Spieß Gericht ,"      231,8          ","        19,0  ","         62,4             ","        16,0  ","         17,6             ","       161,0  ","           17,6             ","           3,5  ","              1,1             ","            3,0  ","         2,5             ","        25,0  ","         131,0            ","         0,0  ","         0,0             ","          1,2  ","       175,0            ","           7,0  ","        17,4             ","         0,4  ","             0,3             ","         0,5  ","        82,0            ","         0,3  ","        203,0            ","          3,3   "
Leberknödel ,"      201,4          ","        23,0  ","         63,2             ","        26,0  ","         12,8             ","       166,0  ","           13,6             ","           4,4  ","              7,0             ","            2,2  ","         1,6             ","      3441,0  ","         151,0            ","         0,0  ","         0,0             ","          0,5  ","       119,0            ","          42,0  ","        11,7             ","         0,2  ","             0,8             ","         0,8  ","       639,0            ","         0,2  ","        186,0            ","          6,1   "
Rumpsteak ,"      225,1          ","        26,0  ","         57,6             ","         4,0  ","         28,9             ","       181,0  ","           12,1             ","           2,5  ","              0,0             ","            4,8  ","         1,0             ","        36,0  ","          82,0            ","         0,0  ","         0,0             ","          1,0  ","       137,0            ","           1,0  ","        28,9             ","         0,1  ","             0,0             ","         0,2  ","        66,0            ","         0,2  ","        306,0            ","          0,0   "
Rindergulasch mit Soße ,"      101,0          ","        11,0  ","         81,8             ","         8,0  ","          9,6             ","       106,0  ","            6,4             ","           1,2  ","              1,3             ","            2,6  ","         0,5             ","         3,0  ","          33,0            ","         0,0  ","         0,0             ","          0,3  ","        52,0            ","           1,0  ","         9,4             ","         0,0  ","             0,3             ","         0,1  ","        26,0            ","         0,1  ","        161,0            ","          1,8   "
Rinderroulade mit Soße ,"      126,8          ","        14,0  ","         76,9             ","         8,0  ","         10,9             ","       102,0  ","            7,7             ","           1,2  ","              3,4             ","            2,2  ","         0,6             ","        14,0  ","          38,0            ","         0,0  ","         0,0             ","          0,3  ","        62,0            ","           1,0  ","        10,3             ","         0,1  ","             0,3             ","         0,1  ","        58,0            ","         0,1  ","        204,0            ","          0,8   "
Serbisches Reisfleisch ,"       86,8          ","        12,0  ","         83,8             ","        43,0  ","          6,4             ","        83,0  ","            4,9             ","           0,5  ","              4,2             ","            1,2  ","         0,8             ","        10,0  ","          22,0            ","         0,0  ","         0,0             ","          0,5  ","        41,0            ","           2,0  ","         6,0             ","         0,0  ","             0,2             ","         0,1  ","        58,0            ","         0,1  ","         95,0            ","          0,3   "
Schweinekotelett paniert ,"      259,8          ","        54,0  ","         53,1             ","        19,0  ","         24,6             ","       164,0  ","           15,9             ","           2,1  ","              4,7             ","            1,6  ","         1,9             ","        24,0  ","         105,0            ","         0,0  ","         0,0             ","          0,5  ","       160,0            ","           3,0  ","        24,0             ","         0,8  ","             0,3             ","         0,2  ","        94,0            ","         0,5  ","        244,0            ","          0,0   "
Schweineschnitzel paniert ,"      236,8          ","        24,0  ","         52,4             ","        24,0  ","         20,7             ","       162,0  ","           10,8             ","           1,2  ","             13,9             ","            1,9  ","         1,4             ","        14,0  ","          79,0            ","         0,0  ","         0,0             ","          0,4  ","       138,0            ","           3,0  ","        18,9             ","         0,7  ","             0,9             ","         0,2  ","       116,0            ","         0,4  ","        215,0            ","          0,1   "
Schweineschnitzel natur ,"      203,3          ","        28,0  ","         60,3             ","         3,0  ","         28,6             ","       202,0  ","            9,8             ","           1,4  ","              0,0             ","            2,5  ","         1,1             ","         7,0  ","          91,0            ","         0,0  ","         0,0             ","          0,4  ","       203,0            ","           1,0  ","        28,6             ","         1,1  ","             0,0             ","         0,3  ","        89,0            ","         0,6  ","        272,0            ","          0,0   "
Lammkotelett ,"      263,2          ","        30,0  ","         54,8             ","        15,0  ","         24,9             ","       223,0  ","           18,3             ","           2,3  ","              0,0             ","            5,0  ","         2,0             ","         0,0  ","          79,0            ","         0,0  ","         0,0             ","          1,4  ","       244,0            ","           6,0  ","        24,9             ","         0,2  ","             0,0             ","         0,3  ","       329,0            ","         0,2  ","        251,0            ","          0,0   "
Hühnerfrikassee ,"      130,1          ","        18,0  ","         78,9             ","        17,0  ","          9,6             ","       101,0  ","            9,8             ","           0,8  ","              1,0             ","            0,7  ","         1,6             ","        40,0  ","          53,0            ","         0,1  ","         0,0             ","          0,4  ","        82,0            ","           4,0  ","         9,5             ","         0,0  ","             0,1             ","         0,1  ","        57,0            ","         0,1  ","        175,0            ","          0,6   "
Putenschnitzel ,"      145,2          ","        20,0  ","         68,2             ","        21,0  ","         22,1             ","       174,0  ","            4,7             ","           1,2  ","              3,3             ","            1,9  ","         0,3             ","        46,0  ","          53,0            ","         0,2  ","         0,0             ","          0,9  ","       111,0            ","           4,0  ","        21,5             ","         0,1  ","             0,4             ","         0,1  ","        54,0            ","         0,3  ","        322,0            ","          1,7   "
Fisch in Kräutersoße ,"       82,1          ","        15,0  ","         83,2             ","        14,0  ","         10,0             ","        92,0  ","            3,9             ","           0,3  ","              1,6             ","            0,4  ","         0,2             ","        10,0  ","          39,0            ","         0,0  ","         0,0             ","          0,3  ","        88,0            ","           3,0  ","         9,8             ","         0,0  ","             0,1             ","         0,1  ","       223,0            ","         0,1  ","        156,0            ","          1,2   "
Fischfrikadelle ,"      232,1          ","        19,0  ","         60,8             ","        22,0  ","         13,7             ","       138,0  ","           16,9             ","           0,7  ","              6,7             ","            0,7  ","         1,7             ","        39,0  ","         103,0            ","         0,0  ","         0,0             ","          0,8  ","       102,0            ","           8,0  ","        12,7             ","         0,1  ","             0,5             ","         0,1  ","       275,0            ","         0,1  ","        195,0            ","          0,5   "
Fischfrikassee ,"       80,9          ","        19,0  ","         82,5             ","        13,0  ","         12,1             ","       113,0  ","            2,7             ","           0,4  ","              1,7             ","            0,5  ","         0,7             ","        21,0  ","          48,0            ","         0,0  ","         0,0             ","          0,7  ","       107,0            ","           3,0  ","        11,9             ","         0,0  ","             0,1             ","         0,1  ","        58,0            ","         0,1  ","        197,0            ","          1,1   "
Fischfilet paniert ,"      215,8          ","        24,0  ","         57,1             ","        22,0  ","         16,9             ","       157,0  ","           10,4             ","           0,7  ","             13,4             ","            0,7  ","         0,5             ","        22,0  ","          72,0            ","         0,1  ","         0,0             ","          0,6  ","       139,0            ","           6,0  ","        15,0             ","         0,1  ","             0,9             ","         0,1  ","       109,0            ","         0,2  ","        251,0            ","          1,1   "
Fischfilet gebraten ,"      118,2          ","        52,0  ","         73,8             ","        37,0  ","         19,0             ","       187,0  ","            4,2             ","           0,8  ","              1,0             ","            0,4  ","         0,6             ","        23,0  ","          63,0            ","         0,0  ","         0,0             ","          0,9  ","       142,0            ","           5,0  ","        18,9             ","         0,1  ","             0,1             ","         0,1  ","       346,0            ","         0,2  ","        269,0            ","          0,9   "
Fischfilet gedünstet ,"      112,9          ","        33,0  ","         75,9             ","        24,0  ","         18,6             ","       176,0  ","            4,1             ","           0,4  ","              0,3             ","            0,6  ","         1,0             ","        40,0  ","          56,0            ","         0,1  ","         0,0             ","          1,0  ","       116,0            ","           8,0  ","        18,5             ","         0,0  ","             0,0             ","         0,1  ","        85,0            ","         0,2  ","        274,0            ","          2,1   "
Fischstäbchen fritiert ,"      236,1          ","        27,0  ","         46,5             ","        37,0  ","         14,2             ","       208,0  ","           10,2             ","           0,4  ","             21,8             ","            0,7  ","         0,5             ","         6,0  ","          49,0            ","         0,0  ","         0,0             ","          0,4  ","       111,0            ","           6,0  ","        11,2             ","         0,1  ","             1,6             ","         0,1  ","      1999,0            ","         0,2  ","        198,0            ","          0,4   "
Spiegelei ,"      220,6          ","        14,0  ","         65,8             ","        57,0  ","         13,5             ","       216,0  ","           18,4             ","           2,1  ","              0,8             ","            1,4  ","         1,8             ","       256,0  ","         432,0            ","         0,0  ","         0,0             ","          1,6  ","         6,0            ","          30,0  ","        13,5             ","         0,1  ","             0,0             ","         0,3  ","       304,0            ","         0,1  ","        139,0            ","          0,0   "
Rühreigerichte ,"      196,4          ","        13,0  ","         69,2             ","        66,0  ","         11,9             ","       196,0  ","           16,1             ","           1,8  ","              1,4             ","            1,2  ","         1,6             ","       221,0  ","         367,0            ","         0,0  ","         0,0             ","          1,4  ","         5,0            ","          26,0  ","        11,9             ","         0,1  ","             0,0             ","         0,2  ","       265,0            ","         0,1  ","        138,0            ","          0,2   "
Rührei mit Speck/Schinken ,"      280,1          ","        12,0  ","         61,0             ","        59,0  ","          9,9             ","       159,0  ","           26,4             ","           1,4  ","              1,4             ","            1,0  ","         2,7             ","       174,0  ","         295,0            ","         0,0  ","         0,0             ","          1,2  ","         4,0            ","          21,0  ","         9,9             ","         0,1  ","             0,1             ","         0,2  ","       209,0            ","         0,1  ","        122,0            ","          0,8   "
Omelett ,"      240,9          ","        13,0  ","         63,8             ","        56,0  ","         13,0             ","       208,0  ","           20,8             ","           2,0  ","              0,8             ","            1,3  ","         1,9             ","       271,0  ","         424,0            ","         0,1  ","         0,0             ","          1,6  ","         5,0            ","          29,0  ","        13,0             ","         0,1  ","             0,0             ","         0,3  ","       293,0            ","         0,1  ","        136,0            ","          0,0   "
Eierpfannkuchen ,"      221,8          ","        14,0  ","         56,5             ","        63,0  ","          8,5             ","       126,0  ","           11,2             ","           1,2  ","             21,5             ","            0,9  ","         0,9             ","       125,0  ","         163,0            ","         0,0  ","         0,0             ","          0,7  ","        13,0            ","          12,0  ","         5,8             ","         0,1  ","             1,1             ","         0,2  ","       176,0            ","         0,1  ","        124,0            ","          0,3   "
Eier gekocht mit Senfsoße ,"      118,7          ","        14,0  ","         79,7             ","        55,0  ","          7,9             ","       136,0  ","            8,7             ","           1,2  ","              2,3             ","            0,9  ","         1,4             ","       158,0  ","         194,0            ","         0,0  ","         0,0             ","          1,5  ","         8,0            ","          13,0  ","         7,3             ","         0,0  ","             0,1             ","         0,1  ","       234,0            ","         0,1  ","        113,0            ","          0,1   "
Quarkspeisen roh ,"      113,6          ","        15,0  ","         78,5             ","       116,0  ","          7,2             ","       152,0  ","            7,8             ","           0,3  ","              3,3             ","            0,5  ","         0,3             ","        94,0  ","          24,0            ","         0,1  ","         0,0             ","          0,4  ","         3,0            ","          13,0  ","         6,8             ","         0,0  ","             0,7             ","         0,2  ","       469,0            ","         0,1  ","        159,0            ","          5,5   "
Zaziki ,"       69,4          ","        14,0  ","         82,3             ","       114,0  ","          8,6             ","       144,0  ","            1,3             ","           0,4  ","              5,0             ","            0,5  ","         0,1             ","        12,0  ","           5,0            ","         0,0  ","         0,0             ","          0,1  ","         3,0            ","          15,0  ","         8,1             ","         0,0  ","             0,4             ","         0,2  ","       362,0            ","         0,1  ","        168,0            ","          3,1   "
Toast Hawai ,"      235,6          ","        21,0  ","         56,2             ","       156,0  ","         11,3             ","       153,0  ","           14,3             ","           0,8  ","             15,1             ","            1,5  ","         0,7             ","       117,0  ","          56,0            ","         0,1  ","         0,0             ","          0,5  ","        53,0            ","           5,0  ","         9,4             ","         0,1  ","             1,1             ","         0,1  ","       241,0            ","         0,1  ","        133,0            ","          5,2   "
Käse-Toast mit Schinken ,"      258,1          ","        28,0  ","         52,5             ","       307,0  ","         18,8             ","       276,0  ","           16,1             ","           1,2  ","              9,5             ","            2,5  ","         1,0             ","       192,0  ","          59,0            ","         0,4  ","         0,0             ","          0,6  ","        83,0            ","           6,0  ","        17,0             ","         0,2  ","             0,7             ","         0,2  ","       245,0            ","         0,1  ","        157,0            ","          0,0   "
Dampfnudeln ,"      163,2          ","        16,0  ","         65,6             ","        42,0  ","          4,8             ","        95,0  ","            6,2             ","           1,1  ","             21,7             ","            0,7  ","         1,3             ","        58,0  ","          29,0            ","         0,0  ","         0,0             ","          1,1  ","        47,0            ","          31,0  ","         1,7             ","         0,1  ","             0,8             ","         0,2  ","        30,0            ","         0,1  ","        136,0            ","          0,2   "
Kompott gemischt ,"       58,4          ","         8,0  ","         84,0             ","        13,0  ","          0,6             ","        14,0  ","            0,3             ","           0,3  ","             12,7             ","            0,1  ","         0,1             ","        12,0  ","           0,0            ","         0,1  ","         0,0             ","          0,2  ","        13,0            ","           1,0  ","         0,0             ","         0,0  ","             1,3             ","         0,0  ","         2,0            ","         0,0  ","        131,0            ","          6,8   "
Apfelmus ,"       71,8          ","         4,0  ","         80,9             ","         6,0  ","          0,2             ","         7,0  ","            0,3             ","           0,3  ","             16,7             ","            0,1  ","         0,1             ","         5,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        10,0            ","           1,0  ","         0,0             ","         0,0  ","             1,3             ","         0,0  ","         2,0            ","         0,0  ","         81,0            ","          4,7   "
Rote Grütze ,"      118,2          ","         4,0  ","         70,6             ","        11,0  ","          0,3             ","        10,0  ","            0,1             ","           0,3  ","             28,0             ","            0,1  ","         0,0             ","         2,0  ","           0,0            ","         0,0  ","         0,0             ","          0,2  ","         4,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         1,0            ","         0,0  ","         53,0            ","          3,8   "
Vanillepudding ,"      127,0          ","        10,0  ","         71,7             ","       100,0  ","          3,1             ","        84,0  ","            3,2             ","           0,2  ","             21,0             ","            0,3  ","         0,2             ","        32,0  ","          22,0            ","         0,0  ","         0,0             ","          0,1  ","         0,0            ","           3,0  ","         3,0             ","         0,0  ","             0,0             ","         0,1  ","        70,0            ","         0,0  ","        131,0            ","          0,7   "
Pudding o.A. ,"      146,4          ","        10,0  ","         68,8             ","        86,0  ","          5,0             ","       107,0  ","            4,7             ","           0,6  ","             20,6             ","            0,6  ","         0,4             ","        83,0  ","         101,0            ","         0,0  ","         0,0             ","          0,5  ","         1,0            ","           8,0  ","         5,0             ","         0,0  ","             0,0             ","         0,1  ","        64,0            ","         0,0  ","        125,0            ","          0,5   "
Weincreme ,"      149,0          ","         8,0  ","         72,2             ","        31,0  ","          2,7             ","        42,0  ","            8,0             ","           0,6  ","             16,3             ","            0,3  ","         0,4             ","       104,0  ","          62,0            ","         0,0  ","         0,0             ","          0,4  ","         3,0            ","           3,0  ","         1,1             ","         0,0  ","             0,1             ","         0,0  ","        18,0            ","         0,0  ","         83,0            ","          1,2   "
Mokkacreme ,"      195,0          ","        31,0  ","         63,4             ","        99,0  ","          4,6             ","       106,0  ","           10,9             ","           0,6  ","             19,5             ","            0,5  ","         0,5             ","       133,0  ","          76,0            ","         0,1  ","         0,0             ","          0,4  ","         6,0            ","           4,0  ","         3,0             ","         0,0  ","             0,0             ","         0,1  ","        48,0            ","         0,0  ","        354,0            ","          0,6   "
Quarkauflauf mit Fruchtsoße ,"      144,0          ","        11,0  ","         64,7             ","        51,0  ","          6,9             ","       129,0  ","            2,0             ","           0,7  ","             23,8             ","            0,8  ","         0,3             ","        37,0  ","          61,0            ","         0,0  ","         0,0             ","          0,4  ","        15,0            ","          11,0  ","         5,7             ","         0,0  ","             1,3             ","         0,1  ","       102,0            ","         0,1  ","        122,0            ","          3,6   "
Hamburger ,"      239,7          ","        18,0  ","         53,7             ","        21,0  ","         10,9             ","       126,0  ","           13,3             ","           2,0  ","             19,1             ","            1,5  ","         1,3             ","        16,0  ","          36,0            ","         0,0  ","         0,0             ","          0,8  ","        72,0            ","           3,0  ","         7,2             ","         0,2  ","             1,1             ","         0,1  ","       443,0            ","         0,1  ","        216,0            ","          0,2   "
Cheeseburger ,"      217,0          ","        20,0  ","         57,9             ","       125,0  ","          9,9             ","       155,0  ","           12,1             ","           1,4  ","             16,8             ","            1,4  ","         1,1             ","        50,0  ","          33,0            ","         0,0  ","         0,0             ","          0,7  ","        50,0            ","           5,0  ","         6,9             ","         0,2  ","             1,0             ","         0,1  ","       406,0            ","         0,1  ","        173,0            ","          0,4   "
Big Mac ,"      227,8          ","        17,0  ","         55,8             ","        21,0  ","          9,9             ","       115,0  ","           12,6             ","           1,8  ","             18,7             ","            1,3  ","         1,3             ","        53,0  ","          34,0            ","         0,2  ","         0,0             ","          0,8  ","        68,0            ","           3,0  ","         6,4             ","         0,2  ","             1,1             ","         0,1  ","       428,0            ","         0,1  ","        220,0            ","          0,4   "
Eis mit Sahne ,"      135,9          ","         9,0  ","         77,0             ","        83,0  ","          2,3             ","        63,0  ","            9,3             ","           0,1  ","             10,7             ","            0,3  ","         0,3             ","       107,0  ","          29,0            ","         0,1  ","         0,0             ","          0,3  ","         0,0            ","           3,0  ","         2,3             ","         0,0  ","             0,0             ","         0,1  ","        34,0            ","         0,0  ","        103,0            ","          1,1   "
Sahne-Frucht-Eis ,"      176,6          ","        10,0  ","         62,8             ","        67,0  ","          2,6             ","        75,0  ","           11,0             ","           0,5  ","             16,7             ","            0,4  ","         0,6             ","       156,0  ","          86,0            ","         0,1  ","         0,0             ","          0,6  ","         4,0            ","           7,0  ","         2,4             ","         0,0  ","             0,5             ","         0,1  ","        26,0            ","         0,1  ","        124,0            ","          5,3   "
Eis mit Früchten Sahne u. Alkoho ,"      232,3          ","        24,0  ","         55,0             ","        81,0  ","          3,1             ","        89,0  ","           11,0             ","           0,8  ","             28,4             ","            0,5  ","         0,6             ","       166,0  ","          85,0            ","         0,2  ","         0,7             ","          0,9  ","        20,0            ","          13,0  ","         2,3             ","         0,1  ","             0,0             ","         0,1  ","        27,0            ","         0,2  ","        264,0            ","         13,7   "
Eis mit Früchten ,"      162,7          ","         8,0  ","         71,0             ","        55,0  ","          1,5             ","        44,0  ","            8,5             ","           0,2  ","             15,5             ","            0,2  ","         0,3             ","        90,0  ","          30,0            ","         0,1  ","         2,4             ","          0,4  ","         5,0            ","           2,0  ","         1,3             ","         0,0  ","             0,3             ","         0,1  ","        22,0            ","         0,0  ","        116,0            ","          2,0   "
Vanilleeis ,"      177,3          ","        10,0  ","         66,0             ","        91,0  ","          4,0             ","       110,0  ","            8,8             ","           0,7  ","             20,4             ","            0,6  ","         0,6             ","       138,0  ","         119,0            ","         0,0  ","         0,0             ","          0,6  ","         1,0            ","           9,0  ","         4,0             ","         0,1  ","             0,0             ","         0,2  ","        56,0            ","         0,1  ","        118,0            ","          1,1 "
Blattsalat mit Öl ,"       93,8          ","         9,5  ","         86,6             ","        31,1  ","          1,1             ","        26,9  ","            8,9             ","           0,9  ","              1,3             ","            0,2  ","         4,9             ","       146,9  ","           0,0            ","         1,3  ","         0,0             ","          5,3  ","         8,8            ","          20,0  ","         0,0             ","         0,1  ","             1,3             ","         0,1  ","         9,1            ","         0,1  ","        205,1            ","         12,3   "
Blattsalate mit Joghurt ,"       30,6          ","        10,6  ","         92,5             ","        59,3  ","          2,0             ","        47,1  ","            1,2             ","           0,7  ","              2,4             ","            0,3  ","         0,1             ","       128,7  ","           3,5            ","         1,0  ","         0,0             ","          0,4  ","         7,1            ","          18,9  ","         1,1             ","         0,1  ","             1,1             ","         0,1  ","        21,4            ","         0,1  ","        207,1            ","         10,3   "
Bratensoße flüssig ,"       14,8          ","         7,7  ","         90,3             ","        30,2  ","          1,7             ","        72,7  ","            0,4             ","           0,3  ","              1,1             ","            0,1  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","        14,0            ","           0,0  ","         1,7             ","         0,0  ","             0,0             ","         0,0  ","      2504,5            ","         0,0  ","         50,9            ","          0,0   "
