Lebensmittel,Energie in Kcal,Magnesium in mg,Wasser in g,Calcium in mg,Eiweiß in g,Phosph. in mg,Fett in g,Eisen in mg,KH in g,Zink in mg,ung. FS in g,Vit. A in µg,Chol. in mg,Carotin in mg,Alkohol in g,Vit. E in mg,Harnsr. in mg,Fols. in µg,tie. EW in g,Vit. B1 in mg,BST in g,Vit. B2 in mg,Natrium in mg,Vit. B6 in mg,Kalium in mg,Vit. C in mg
Limabohne getrocknet gegart ,"       79,9          ","        28,0  ","         75,8             ","        79,0  ","          4,3             ","        61,0  ","            0,3             ","           1,1  ","             14,6             ","            0,6  ","         0,1             ","        43,0  ","           0,0            ","         0,3  ","         0,0             ","          0,6  ","       143,0            ","           4,0  ","         0,0             ","         0,2  ","             4,0             ","         0,1  ","         3,0            ","         0,1  ","        181,0            ","         10,3   "
Blumenkohlsuppe Trockenprodukt ,"      367,5          ","        40,0  ","          6,6             ","       150,0  ","         11,0             ","       200,0  ","            9,0             ","           1,5  ","             60,0             ","            0,8  ","         5,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,6  ","       140,0            ","          12,0  ","         0,0             ","         0,3  ","             1,4             ","         0,5  ","      4450,0            ","         0,2  ","        100,0            ","          2,0   "
"Wurzel, Knollengemüsesuppen tro. ","      344,0          ","        60,0  ","          3,9             ","       100,0  ","         15,0             ","       300,0  ","            9,0             ","           0,2  ","             50,0             ","            0,6  ","         5,0             ","         3,0  ","           0,0            ","         0,0  ","         0,0             ","          1,0  ","         0,0            ","           7,0  ","         0,0             ","         0,3  ","             1,1             ","         0,6  ","      9000,0            ","         0,2  ","        600,0            ","          2,3   "
Pickles süß milchsauer ,"        1,4          ","         3,0  ","         98,4             ","         9,0  ","          0,1             ","         4,0  ","            0,0             ","           0,1  ","              0,2             ","            0,1  ","         0,0             ","         6,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         1,0            ","           0,0  ","         0,0             ","         0,0  ","             0,1             ","         0,0  ","       464,0            ","         0,0  ","         14,0            ","          0,4   "
Gewürzgurken Sauerkonserve ,"       11,7          ","        12,0  ","         95,6             ","        14,0  ","          0,4             ","        20,0  ","            0,1             ","           0,4  ","              1,0             ","            0,1  ","         0,0             ","        20,0  ","           0,0            ","         0,1  ","         0,0             ","          0,0  ","         3,0            ","           2,0  ","         0,0             ","         0,0  ","             0,2             ","         0,0  ","       263,0            ","         0,0  ","         82,0            ","          1,4   "
Cornichons Sauerkonserve ,"        8,4          ","         7,0  ","         96,4             ","        13,0  ","          0,3             ","        15,0  ","            0,1             ","           0,3  ","              1,2             ","            0,1  ","         0,0             ","        29,0  ","           0,0            ","         0,2  ","         0,0             ","          0,0  ","         4,0            ","           3,0  ","         0,0             ","         0,0  ","             0,3             ","         0,0  ","       374,0            ","         0,0  ","         78,0            ","          2,1 "
Nüsse frisch ,"      562,2          ","       160,0  ","          5,2             ","        40,0  ","         25,3             ","       340,0  ","           48,1             ","           1,8  ","              8,3             ","            2,8  ","        13,7             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","         11,0  ","        70,0            ","          56,0  ","         0,0             ","         0,9  ","            10,9             ","         0,2  ","        11,0            ","         0,4  ","        660,0            ","          0,0   "
Erdnuß geröstet ,"      579,9          ","       182,0  ","          1,6             ","        65,0  ","         25,6             ","       409,0  ","           49,4             ","           2,3  ","              9,4             ","            3,4  ","        14,1             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          8,8  ","        71,0            ","          48,0  ","         0,0             ","         0,3  ","            11,4             ","         0,1  ","        11,0            ","         0,4  ","        777,0            ","          0,0   "
Walnuß europäisch ,"      655,0          ","       130,0  ","          4,4             ","        87,0  ","         14,4             ","       410,0  ","           62,5             ","           2,5  ","             10,6             ","            2,7  ","        42,7             ","         8,0  ","           0,0            ","         0,0  ","         0,0             ","          6,0  ","        25,0            ","          54,0  ","         0,0             ","         0,3  ","             6,1             ","         0,1  ","         2,0            ","         0,9  ","        544,0            ","          2,6   "
Haselnuß frisch ,"      636,8          ","       155,0  ","          5,2             ","       225,0  ","         12,0             ","       335,0  ","           61,6             ","           3,8  ","             10,5             ","            1,9  ","         6,5             ","         5,0  ","           0,0            ","         0,0  ","         0,0             ","         26,3  ","        40,0            ","          33,0  ","         0,0             ","         0,4  ","             8,2             ","         0,2  ","         2,0            ","         0,3  ","        635,0            ","          3,0   "
Kokosnuß Raspeln ,"      611,2          ","        90,0  ","          2,2             ","        25,0  ","          6,2             ","       183,0  ","           63,3             ","           3,5  ","              6,4             ","            1,5  ","         1,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          1,3  ","         0,0            ","           6,0  ","         0,0             ","         0,0  ","            20,0             ","         0,1  ","        33,0            ","         0,2  ","        600,0            ","          1,0   "
Kokosmilch ,"       24,4          ","        30,0  ","         93,8             ","        27,0  ","          0,3             ","        30,0  ","            0,4             ","           0,1  ","              4,9             ","            0,1  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           4,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","        47,0            ","         0,0  ","        280,0            ","          2,0   "
Cashewnuß geröstet ,"      595,2          ","       255,0  ","          3,9             ","        41,0  ","         16,1             ","       426,0  ","           48,2             ","           4,1  ","             25,3             ","            4,8  ","         3,9             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          1,3  ","         0,0            ","          25,0  ","         0,0             ","         0,4  ","             3,2             ","         0,2  ","        17,0            ","         0,3  ","        530,0            ","          0,0   "
Paranuß frisch ,"      661,0          ","       160,0  ","          4,3             ","       132,0  ","         13,6             ","       675,0  ","           66,8             ","           3,4  ","              3,5             ","            4,0  ","        24,9             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          7,6  ","        22,0            ","          16,0  ","         0,0             ","         1,0  ","             8,1             ","         0,0  ","         2,0            ","         0,1  ","        645,0            ","          0,7   "
Mandel frisch ,"      570,1          ","       220,0  ","          5,6             ","       250,0  ","         18,7             ","       455,0  ","           54,1             ","           4,1  ","              3,7             ","            2,7  ","        10,3             ","        20,0  ","           0,0            ","         0,1  ","         0,0             ","         26,1  ","        40,0            ","          46,0  ","         0,0             ","         0,2  ","            15,2             ","         0,6  ","         5,0            ","         0,2  ","        835,0            ","          0,8   "
Edelkastanien frisch gegart ,"      173,2          ","        27,0  ","         50,1             ","        37,0  ","          2,5             ","        80,0  ","            1,9             ","           0,9  ","             36,0             ","            0,4  ","         0,7             ","         4,0  ","           0,0            ","         0,0  ","         0,0             ","          1,3  ","         0,0            ","          16,0  ","         0,0             ","         0,1  ","             8,6             ","         0,2  ","         2,0            ","         0,3  ","        300,0            ","         15,0   "
Edelkastanien geröstet ,"      241,9          ","        37,0  ","         44,5             ","        33,0  ","          2,3             ","        74,0  ","           10,9             ","           0,9  ","             33,4             ","            0,5  ","         3,6             ","        44,0  ","           0,0            ","         0,3  ","         0,0             ","          2,9  ","         0,0            ","          13,0  ","         0,0             ","         0,1  ","             7,8             ","         0,1  ","         4,0            ","         0,2  ","        557,0            ","         12,5   "
Pistazie geröstet und gesalzen ,"      615,6          ","       130,0  ","          2,1             ","        93,0  ","         17,5             ","       442,0  ","           54,3             ","           3,0  ","             15,6             ","            1,7  ","         8,0             ","        23,0  ","           0,0            ","         0,1  ","         0,0             ","          4,1  ","         0,0            ","          19,0  ","         0,0             ","         0,5  ","             6,0             ","         0,2  ","       768,0            ","         0,3  ","        985,0            ","          7,2   "
Kürbiskern frisch ,"      560,8          ","       402,0  ","          2,1             ","        41,0  ","         24,4             ","       830,0  ","           45,6             ","          12,5  ","             14,2             ","            7,0  ","        23,6             ","        38,0  ","           0,0            ","         0,2  ","         0,0             ","          4,0  ","         0,0            ","          26,0  ","         0,0             ","         0,2  ","             8,8             ","         0,3  ","        18,0            ","         0,1  ","        814,0            ","          0,2   "
Pinienkern frisch ,"      576,1          ","       235,0  ","          6,4             ","        26,0  ","         24,0             ","       510,0  ","           50,7             ","           9,2  ","              7,3             ","            4,3  ","        22,7             ","         3,0  ","           0,0            ","         0,0  ","         0,0             ","         13,6  ","         0,0            ","          19,0  ","         0,0             ","         0,8  ","             7,2             ","         0,2  ","         4,0            ","         0,1  ","        600,0            ","          1,9   "
